,Voucher Number,Voucher_Date,Credit,Invoice_number
0,ESS/RV210328,2021-04-08,16800.0,ESS/IVO200221
0,ESS/RV210003,2021-02-24,3100.0,ESS/IVO200222
0,ESS/RV210008,2021-02-14,6000.0,ESS/IVO200223
0,ESS/RV210097,2021-05-20,9000.0,ESS/IVO200224
0,ESS/RV210603,2021-06-01,17800.0,ESS/IVO200225
0,ESS/RV210043,2021-01-21,25600.0,ESS/IVO200226
0,ESS/RV210041,2021-01-19,10200.0,ESS/IVO200227
0,ESS/RV210035,2021-01-14,12800.0,ESS/IVO200228
0,ESS/RV210032,2021-01-11,16500.0,ESS/IVO200229
0,ESS/RV220110,2022-02-07,3200.0,ESS/IVO200230
0,ESS/RV210054,2021-01-24,15000.0,ESS/IVO200231
0,ESS/RV220310,2022-08-25,1680.65,ESS/IVO200232
1,ESS/RV220311,2022-09-25,3600.0,ESS/IVO200232
2,ESS/RV220312,2022-10-25,1119.35,ESS/IVO200232
0,ESS/RV210059,2021-01-28,32600.0,ESS/IVO200233
0,ESS/RV210192,2021-05-25,6000.0,ESS/IVO200234
0,ESS/RV210237,2021-03-02,5500.0,ESS/IVO200235
0,ESS/RV210590,2021-04-08,12800.0,ESS/IVO200236
0,ESS/RV210590,2021-04-08,16000.0,ESS/IVO200237
0,ESS/RV210011,2021-02-10,9300.0,ESS/IVO200238
0,ESS/RV210006,2021-02-01,6000.0,ESS/IVO200239
0,ESS/RV210047,2021-01-24,55487.1,ESS/IVO200240
0,ESS/RV210040,2021-01-19,8625.0,ESS/IVO200241
0,ESS/RV210579,2021-02-24,25600.0,ESS/IVO200242
0,ESS/RV210036,2021-01-14,2850.0,ESS/IVO200243
0,ESS/JV200106,2020-12-31,23400.0,ESS/IVO200244
0,ESS/RV210024,2021-02-18,6400.0,ESS/IVO200245
0,ESS/RV210024,2021-02-18,60200.0,ESS/IVO200246
0,ESS/RV210024,2021-02-18,20500.0,ESS/IVO200247
0,ESS/RV210024,2021-02-18,55100.0,ESS/IVO200248
0,ESS/RV210352,2021-05-19,2200.0,ESS/IVO200249
0,ESS/RV210049,2021-01-24,6200.0,ESS/IVO200250
0,ESS/RV210350,2021-05-17,6200.0,ESS/IVO200251
0,ESS/RV210020,2021-02-24,18800.0,ESS/IVO200253
