,Job_Code,Interest,Investment,Gross Revenue,Net Revenue,Initial Profit,Current Profit,Customer_Code,Cus_Name
3711,NBNLAIFCT210965,0.0,0.0,4260.0,4260.0,2302.8291964331875,2302.8291964331875,C00210,Nasser Bin Khaled & Sons Automobiles W.L.L
3712,NBNLSI233592,849.72,9937.686591907775,12410.0,5300.0,2472.3134080922246,1622.5934080922245,C00210,Nasser Bin Khaled & Sons Automobiles W.L.L
3713,NBNLSI211060,0.0,0.0,3515.0,1200.0,474.2639233998998,474.2639233998998,CUS0041,Nasser Bin Khaled Powered Sports
3714,NBNLSI222337,0.0,0.0,1280.0,1280.0,459.8109579187502,459.8109579187502,CUS0013,NBK Tyre Services
3715,NBNLSI210794,0.0,0.0,4400.0,4200.0,1338.3777351641754,1338.3777351641754,C00136,NBK & Sons Trading Co
3716,NBNLRRI210370,0.0,0.0,240.0,0.0,0.0,0.0,C00210,Nasser Bin Khaled & Sons Automobiles W.L.L
3717,NBNLRRI220791,0.0,0.0,1175.0,675.0,131.22192790983172,131.22192790983172,C00210,Nasser Bin Khaled & Sons Automobiles W.L.L
3718,NBNLMICC220143,0.0,0.0,7000.0,7000.0,2932.9792428955284,2932.9792428955284,C00231,Nasser Bin Khaled Service Centers W.L.L
3719,NBNLSIFCT210379,0.0,0.0,12334.0,9601.0,890.9981149152329,890.9981149152329,CUS0186,Qatar International Electrical Co. W.L.L
3720,NBNLSIF230118,123.01,7877.812680612965,8937.0,8937.0,1059.1873193870356,936.1773193870356,CUS0522,AL MAJID JAWAD (AMJAD) WLL
3721,NBNLSI234069,75.0,3781.233912597239,4154.26,875.0,373.0260874027612,298.0260874027612,CUS0503,GULF ASIA CONTRACTING COMPANY LLC (GAC)
3722,NBNLSI222491,0.0,0.0,25671.86,7820.0,2525.7464019214567,2525.7464019214567,C00182,Suncons Trading & Contracting WLL
3723,NBNLSI244715,139.27,7699.261801357218,8230.0,2400.0,530.8062539502819,391.5362539502819,CUS0471,ALJAYED ALZAIN TRADING
3724,NBNLSIP230025,0.0,23.594797613945836,450.0,450.0,426.40520238605416,426.40520238605416,CUS0496,AL BALAGH TRADING AND CONTRACTING CO. W.L.L.
3725,NBLSI200129,0.0,0.0,10910.0,9435.0,725.1616408483733,725.1616408483733,C00231,Nasser Bin Khaled Service Centers W.L.L
3726,NBNLSI233518,20.77,743.0423817906388,1250.0,1250.0,506.95761820936116,486.1876182093612,CUS0013,NBK Tyre Services
3727,NBNLRRI210347,0.0,0.0,1210.0,715.0,17.286577884922494,17.286577884922494,C00164,Qatar Automobiles Company W.L.L.
3728,NBNLSI244887,37.42,2859.760153567611,3275.0,1080.0,410.2398464323893,372.8198464323893,CUS0310,SAUDIA HYPERMARKET
3729,NBNLSIFCT230884,24.92,14710.657609451473,15616.0,15616.0,905.3423905485276,880.4223905485277,CUS0509,QATAR MARBLE & GRANITE COMPANY WLL
3730,NBNLSI244704,204.96,16707.74397367944,17835.5,3750.0,1127.8836300221237,922.9236300221237,C00182,Suncons Trading & Contracting WLL
3731,NBNLAIF210005,0.0,0.0,3516.0,3516.0,149.1966073221193,149.1966073221193,CUS0207,QATAR FACTORY FOR FIRE FIGHTING EQUIPMENT & SAFETY SYSTEMS
3732,NBNLAIFCT210562,0.0,0.0,888.0,888.0,-18.02996460813317,-18.02996460813317,C00210,Nasser Bin Khaled & Sons Automobiles W.L.L
3733,NBNLLCLIFCT210044,0.0,0.0,6025.08,4190.4,859.8569059848076,859.8569059848076,C00225,NBK Heavy Equipment
3734,NBNLSI222388,0.0,0.0,3435.0,1300.0,633.8182252719803,633.8182252719803,CUS0010,Auto Class Automobiles
3735,NBNLAIFCT221112,0.0,0.0,12842.21,12242.75,897.42422211286,897.42422211286,C00174,SALAM STUDIO & STORES
3736,NBNLRRI220840,15.25,913.7890703961516,990.0,490.0,76.22116642390826,60.97116642390826,CUS0010,Auto Class Automobiles
3737,NBNLLCLIFCT220071,0.0,0.0,5823.16,4034.25,1390.887581028833,1390.887581028833,C00225,NBK Heavy Equipment
3738,NBNLSI210981,0.0,0.0,1100.0,1050.0,339.91635026150675,339.91635026150675,C00136,NBK & Sons Trading Co
3739,NBNLAIFCT221142,0.0,0.0,9090.97,11304.0,6669.737751658498,6669.737751658498,C00210,Nasser Bin Khaled & Sons Automobiles W.L.L
3740,NBNLAIFCT210772,0.0,0.0,3578.69,3245.69,1145.7301066642294,1145.7301066642294,C00210,Nasser Bin Khaled & Sons Automobiles W.L.L
3741,NBNLAIP231342,0.1,1181.9513301119273,1233.4,250.0,51.599323134626815,51.49932313462681,C00011,AL BASET TRADING AND TRANSPORTION CO
3742,NBNLAIP220867,0.0,0.0,710.0,335.0,70.3181605196255,70.3181605196255,C00210,Nasser Bin Khaled & Sons Automobiles W.L.L
3743,NBNLSI233985,51.86,3699.40202984334,4272.0,1575.0,572.5979701566598,520.7379701566598,CUS0310,SAUDIA HYPERMARKET
3744,NBNLAIFCT210820,0.0,0.0,1200.0,1200.0,156.81273836192355,156.81273836192355,C00210,Nasser Bin Khaled & Sons Automobiles W.L.L
3745,NBNLRRI230978,37.69,1156.7941981662077,1260.0,760.0,103.21540807091111,65.52540807091111,C00164,Qatar Automobiles Company W.L.L.
3746,NBNLLCT230083,5.74,480.25095861565575,800.0,350.0,219.8384125040691,214.0984125040691,CUS0468,ROSS TRADING LLC
3747,NBLSI200244,0.0,0.0,1140.0,1090.0,111.63804358845175,111.63804358845175,C00136,NBK & Sons Trading Co
3748,NBNLSIFCT220797,192.58,9466.92579133177,10127.0,7892.0,660.6742714221356,468.09427142213553,C00174,SALAM STUDIO & STORES
3749,NBNLAIFCT210616,0.0,0.0,660.0,660.0,-727.5076069818542,-727.5076069818542,C00210,Nasser Bin Khaled & Sons Automobiles W.L.L
3750,NBNLAIP221196,84.3,6223.144078594034,6329.01,175.0,108.7588431467254,24.4588431467254,CUS0319,AL Musse Trading & Contracting Services
3751,NBLSIFCT210008,0.0,0.0,17533.0,11183.0,2569.242741021735,2569.242741021735,C00042,Brand Center
3752,NBNLSI233961,913.63,46628.45559387435,49299.0,8000.0,2670.544406125648,1756.914406125648,C00182,Suncons Trading & Contracting WLL
3753,NBNLRRI220867,33.59,1297.974186889996,1394.2,540.0,96.89342430151277,63.30342430151276,C00222,Q-AUTO L.L.C.
3754,NBNLSI234191,134.27,4902.48946039202,4888.2,800.0,-14.289460392019919,-148.55946039201993,C00174,SALAM STUDIO & STORES
3755,NBNLSI233762,164.19,9559.794968740642,9783.93,500.0,224.13503125935875,59.94503125935876,C00225,NBK Heavy Equipment
3756,NBNLSI211670,0.0,0.0,150.0,150.0,107.47080213464396,107.47080213464396,CUS0237,TAAZA GROUP
3757,NBNLSI222684,0.0,0.0,4870.0,280.0,47.61620979489409,47.61620979489409,C00222,Q-AUTO L.L.C.
3758,NBLAIFCT210062,136.54,1123.24,18492.640000000003,16919.4,2122.146852077374,1985.6068520773742,C00137,NBK AWLA HEAVY EQ
3759,NBLSI210109,0.0,0.0,1345.8,500.0,319.2577035374232,319.2577035374232,C00011,AL BASET TRADING AND TRANSPORTION CO
3760,NBNLSI222180,0.0,0.0,20205.0,1800.0,210.31732750826262,210.31732750826262,CUS0273,ALJABER ENGINEERING WLL
3761,NBNLSI233633,249.99,10324.656530838654,10653.0,925.0,328.3434691613455,78.35346916134552,CUS0319,AL Musse Trading & Contracting Services
3762,NBNLSI244879,250.82,10546.54346515546,10729.27,1040.0,182.78937561764974,-68.03062438235025,CUS0010,Auto Class Automobiles
3763,NBLAIFCT200072,0.0,0.0,1920.0,1620.0,-186.24857471550985,-186.24857471550985,C00210,Nasser Bin Khaled & Sons Automobiles W.L.L
3764,NBNLSI210679,1.44,0.0,14975.0,3875.0,588.7363018853723,587.2963018853723,C00182,Suncons Trading & Contracting WLL
3765,NBNLAIP210270,0.0,0.0,2741.6,850.0,227.7585192728571,227.7585192728571,C00136,NBK & Sons Trading Co
3766,NBNLSI244814,378.9,20656.692768415327,22310.0,4500.0,1653.4603560265484,1274.5603560265486,C00182,Suncons Trading & Contracting WLL
3767,NBNLSIFCT210420,0.0,0.0,10422.5,7672.5,1996.9069401993954,1996.9069401993954,CUS0010,Auto Class Automobiles
3768,NBNLAIP220588,0.0,0.0,2540.42,675.0,154.28739432780387,154.28739432780387,CUS0313,SOUQ AL BALADI TRADING
3769,NBNLRRI220859,135.42,7319.7796262827715,8340.0,7840.0,1024.4498450569047,889.0298450569047,C00164,Qatar Automobiles Company W.L.L.
